name,tags,cost,description,rating,opening_hours
VivoCity,shopping mall entertainment,0,Singapore's largest retail and lifestyle destination.,4.5,10:00 AM - 10:00 PM
Mustafa Centre,shopping bargains 24-hours,0,A 24-hour shopping mall offering a wide variety of products.,4.2,Open 24 hours
ION Orchard,shopping luxury dining,0,A stylish mall featuring luxury brands and fine dining options.,4.6,10:00 AM - 10:00 PM

Singapore Botanic Gardens,relaxation nature outdoors,0,A UNESCO World Heritage Site.,4.8,5:00 AM - 12:00 AM
ESPA at Resorts World Sentosa,relaxation spa wellness,100,Luxurious spa treatments.,4.5,9:00 AM - 9:00 PM
So Spa by Sofitel,relaxation spa wellness,80,Indulge in soothing spa experiences.,4.4,10:00 AM - 8:00 PM
Kusu Island,relaxation nature beach,15,A peaceful island escape with beaches and a turtle sanctuary.,4.4,Open 24 hours
Changi Beach Park,relaxation nature outdoors,0,A serene beach park perfect for picnics and plane-spotting.,4.5,Open 24 hours
HortPark,relaxation nature garden,0,A gardening-themed park with scenic landscapes.,4.4,6:00 AM - 11:00 PM
Sembawang Hot Spring Park,relaxation spa outdoors,0,Enjoy a natural hot spring experience in an outdoor setting.,4.3,7:00 AM - 7:00 PM
Lazarus Island,relaxation beach getaway,0,A tranquil island with pristine beaches perfect for a quiet getaway.,4.7,Open 24 hours
Pulau Ubin,relaxation nature cycling,0,Rustic island offering cycling and nature trails for a peaceful retreat.,4.6,Open 24 hours
Spa Botanica,relaxation spa wellness,120,Indulge in luxurious spa treatments surrounded by lush greenery.,4.5,9:00 AM - 8:00 PM

Universal Studios Singapore,family adventure theme-park,79,A world-class theme park with fun for all ages.,4.5,11:00 AM - 6:00 PM
Singapore Zoo,family nature wildlife,45,One of the world's best rainforest zoos.,4.7,8:30 AM - 6:00 PM
KidZania Singapore,family interactive educational,58,A fun and interactive learning experience for kids.,4.3,10:00 AM - 6:00 PM
Adventure Cove Waterpark,family adventure waterpark,38,A fun water park with slides wave pools and snorkeling activities.,4.2,10:00 AM - 5:00 PM
River Wonders,family nature wildlife,40,A river-themed wildlife park featuring the giant pandas.,4.5,10:00 AM - 7:00 PM
S.E.A. Aquarium,family marine wildlife,41,Explore the wonders of marine life with over 100000 marine creatures.,4.6,10:00 AM - 5:00 PM
Wild Wild Wet,family waterpark fun,26,A family-friendly water park with thrilling slides and pools.,4.3,12:00 PM - 6:00 PM
Nestopia,family adventure outdoor-play,15,An outdoor play space with climbing structures and slides for kids.,4.3,11:00 AM - 8:00 PM
Snow City Singapore,family adventure indoor-snow,20,Experience snow and ice activities in a fun indoor space.,4.2,10:00 AM - 6:00 PM
The Artground,family arts interactive-play,0,An arts space offering interactive play experiences for kids.,4.4,10:00 AM - 5:00 PM

Singapore Science Centre,technology innovation education,12,Interactive exhibits about science and tech.,4.5,10:00 AM - 6:00 PM
Fusionopolis,technology innovation science,0,A hub for science and innovation.,4.3,9:00 AM - 7:00 PM
Smart Nation City Gallery,technology innovation smart-city,0,Learn about Singapore's smart city vision.,4.4,9:00 AM - 6:00 PM
Virtual Room Singapore,technology virtual-reality team-building,40,A collaborative VR gaming experience.,4.5,12:00 PM - 8:00 PM
Red Dot Design Museum,technology design innovation,10,A museum showcasing innovative product designs.,4.3,10:00 AM - 7:00 PM
IMDA Pixel Labs,technology innovation learning,0,A space for learning about digital media and innovation.,4.4,9:00 AM - 6:00 PM
Lee Kong Chian Natural History Museum,technology science history,16,A museum with exhibits on natural history and biodiversity.,4.5,10:00 AM - 7:00 PM
ArtScience Museum Digital Light Canvas,technology interactive art,15,A mesmerizing digital art experience.,4.3,10:00 AM - 7:00 PM
Changi Experience Studio,technology aviation interactive,25,An interactive showcase of Changi Airport’s innovations.,4.6,10:00 AM - 8:00 PM
NUS Museum,technology education heritage,5,Explore heritage and technology exhibits in this university museum.,4.2,10:00 AM - 6:00 PM
